h_name,address,city,district,state,lat,lng
Diphu Civil Hospital Blood Bank,"Diphu,Karbi Anglong",Anglong,Karbi Anglong,Assam,25.8428767,93.4332627
Karimganj Civil Hospital Blood Bank,"Karimganj Civil Hospital, Karimganj",Karimganj,Karimganj,Assam,24.8675958,92.3618061
R.N.B. Civil Hospital Blood Bank,Keonjhar,Keonjhar,Keonjhar,Assam,21.628933,85.5816847
North Lakhimpur Civil Hospital,"North Lakhimpur Civil Hospital, North Lakhimpur",North Lakhimpur,Lakhimpur,Assam,27.2428615,94.106238
Marigaon Civil Hospital blood bank,Marigaon,NA,NA,Assam,26.2507547,92.3558378
B.P. Civil Hospital,"B.P. Civil Hospital, Nagaon",Nagaon,Nagaon,Assam,26.3449152,92.6894557
Civil Hospital blood bank,Nalbari,Nalbari,Nalbari,Assam,26.4479175,91.4353744
Civil Hospital Blood Bank,"Haflong Civil Hospital, Haflong",Haflong,Dima-Hasao,Assam,25.1834405,93.0111276
Civil Hospital blood bank,Sivsagar,Sivsagar,Sivsagar,Assam,26.9553033,94.6105527
O.N.G.C. Ltd. Hospital Blood Bank,Sivsagar,Sivsagar,Sivsagar,Assam,26.9807025,94.6519154
Kanaklata Civil Hospital Blood Bank,"Kanaklata Civil Hospital, Tezpur",Tezpur,Sonitpur,Assam,26.6307387,92.7972135
"Tinsukia Civil Hospital Blood Bank,(L.G.B.)","L.G.B. Civil Hospital, Bordoloi Nagar, Tinsukia",Bordoloi Nagar,Tinsukia,Assam,27.4988866,95.3587495
Indian Oil Corporation Ltd. Hospital Blood Bank,Digboi,Digboi,Tinsukia,Assam,27.3887675,95.6202149
Central Hospital North Eastern Coalfields,"Coal India Ltd., Marghetia",Marghetia,Marghetia,Assam,27.287762,95.671572
Lower Assam Hospital blood bank,Chapaguri,Chapaguri,Chapaguri,Assam,26.4928619,90.5514783
Barak Blood Bank & Clinical Research Centre,"N.S. Avenue, Silchar",Silchar,Silchar,Assam,24.8076944,92.7952178
Tata Tea Ltd. Referral Hospital & Research Centre blood bank,Chabua,Chabua,NA,Assam,27.4720189,95.1613715
Dr. Damani?s Nursing Home Blood Bank,Near Circuit House,NA,NA,Assam,27.4898286,94.9230561
Marwari Arogya Bhawan & Hospital Blood Bank,Jyoti Nagar,Jyoti Nagar,NA,Assam,27.4898453,94.929704
Aditya Diagnostic Hospital Blood Bank,NA,NA,NA,Assam,27.4914603,94.9312469
Blood bank of Srimanta Sankardeva Hospital & Research Centre,Mancotta Road,NA,NA,Assam,27.4883647,94.9421964
Dirial Central Hospital blood bank,NA,NA,NA,Assam,26.2006043,92.9375739
Blood bank of Solace Hospital & Research Centre (P) Ltd.,NA,NA,NA,Assam,26.1646236,90.6250174
Vivekananda Kendra NRL Hospital Blood Bank,"NRL Township, Numaligarh",Numaligarh,Golaghat,Assam,26.5913711,93.7495168
Aparajita Blood Bank,"A Unit of M/s Sanjivani Hospital, A.T. Road, Tarajan",Tarajan,NA,Assam,26.7496881,94.1949013
Jorhat Medical College Hospital Blood Bank,"Jorhat Medical College,Civil Hospital, Jorhat",Jorhat,Jorhat,Assam,26.7425738,94.1951087
Air Force Hospital Blood Bank,"5, C/O 99 APO",NA,NA,Assam,26.2006043,92.9375739
G.N.R.C Hospital Blood Bank,"Dispur, Guwahati",Dispur,Guwahati,Assam,26.1389556,91.7944378
Assam Gujarat Voluntary Blood Bank and Research Centre,"33, Anil Mazamill Road, Lane opp.:Apsara Cinema, Manipuri Basti",Guwahati,Guwahati,Assam,26.1782569,91.7546348
Blood Bank Down Town Hospital,"G.S. Road, Dispur",Guwahati,Guwahati,Assam,26.1391639,91.7993515
Ganga Blood Bank,"G.S. Road,Ulubari, Guwahati",Ulubari,Kamrup,Assam,26.1722589,91.7601852
Dispur blood bank,"Ganeshguri , Guwahati",Guwahati,Guwahati,Assam,26.1627425,91.7706643
Central Nursing Home Blood Bank,"Beltola, Guwahati",Guwahati,Guwahati,Assam,26.1301489,91.7952638
Saharias Blood Bank,"G.S. Road, Bhangagarh,",Bhangagarh,Guwahati,Assam,26.1627425,91.7706643
International Hospital blood bank,"Lotus Tower, G.S Road,Guwahati",Guwahati,Guwahati,Assam,26.153948,91.7808855
Surakhya blood bank,"A.M. Road, Rehabri,Guwahati",Rehabri,Guwahati,Assam,26.1766887,91.7537945
Marwari Hospital & Research Centre blood bank,"Athagaon, Guwahati.",Guwahati,Guwahati,Assam,26.1716036,91.7402702
"151, Base Hospital Blood Bank","Basistha, Guwahati",Guwahati,Guwahati,Assam,26.1042358,91.7961728
Central Hospital N.F. Railway,"Maligaon, Guwahati",Maligaon,Guwahati,Assam,26.1518707,91.6949015
Haji Abdul Memorial Hospital & Research Centre blood bank,Hojai,Hojai,NA,Assam,26.0016601,92.847737
North East blood bank & Research Centre,"N.H.-37, Haibargaon",Haibargaon,NA,Assam,24.809792,93.086822
Divisional Railway Hospital blood bank,Lumding,Lumding,NA,Assam,25.752555,93.1801682
Nalbari Maternity Hospital blood bank,Nalbari,Nalbari,Nalbari,Assam,26.4404558,91.4359035
Sharma Nursing Home,Tana Road,NA,NA,Assam,26.2006043,92.9375739
"Pragati Hospital & Research Centre, Blood Bank",NA,NA,NA,Assam,26.997865,94.619762
155 Base Hospital Blood Bank,Tezpur,Tezpur,Tezpur,Assam,26.652281,92.783854
Catholic Hospital Blood Bank,Borgang,Borgang,NA,Assam,26.8155393,93.320199
Tinsukia Blood Bank,Tinsukia,Tinsukia,NA,Assam,27.4904372,95.3630179
Sankar Madhab Medical College and Hospital,"Gandhinagar, Sankar Madhab Path, Panikhaiti",Panikhaiti,NA,Assam,26.2016412,91.8614487
Greater Jorhat Lions Blood Bank,"Lions Multiple Service Centre, Sonali Jayanti Nagar",Sonali Jayanti Nagar,NA,Assam,26.7530298,94.1859773
Hayat Hospital Blood Bank,Odalbakra,Odalbakra,NA,Assam,26.1394919,91.746597
Fakhruddin Ali Ahmed Medical College Hospital Blood Bank,"FAA Medical College Hospital,Barpeta",Barpeta,Barpeta,Assam,26.3233875,90.9856357
Rahman Hospital Pvt. Ltd.Blood Bank,"VIP Road, Sixmile, Khanapara, Ghy",Khanapara,NA,Assam,26.1350736,91.809477
Sanjevani Hospital Blood Bank,"Maligaon, Guwahati",Maligaon,Guwahati,Assam,26.161205,91.709411
St. Luke Hospital Blood Bank,"No. 1 Patia Pathar Village, Rongpuria",Rongpuria,NA,Assam,26.5001122,92.5420799
Sukhada Hospital & Diagnostic Centre BB,Tezpur,Tezpur,Tezpur,Assam,26.6494389,92.7907664
Satribari Christian Hospital blood bank,Guwahati,Guwahati,Guwahati,Assam,26.176975,91.7461206
Barpeta Civil Hospital,Barpeta,Barpeta,Barpeta,Assam,26.3556524,90.8679608
GNRC Institute of Medical Sciences,"Sila Grant, North Guwahati",Guwahati,Guwahati,Assam,26.2032049,91.6941583
"Narayana Hrudayalaya Pvt. Ltd, Blood Bank",NA,NA,NA,Assam,26.2077161,91.6776602
S. K. Roy Civil Hospital,Hailakandi,Hailakandi,Hailakandi,Assam,24.7626531,92.795766
Mahendra Mohan Chaudhury Hospital,"Panbazar, Guwahati",Panbazar,Kamrup (M),Assam,26.1855045,91.7404854
R.N.B. Civil Hospital,Kokrajhar,Kokrajhar,Kokrajhar,Assam,26.4480514,89.98423
Morigaon Civil Hospital,Morigaon,Morigaon,Morigaon,Assam,26.2507547,92.3558378
SMK Civil Hospital,Nalbari,Nalbari,Nalbari,Assam,26.4477257,91.4364242
Sivasagar Civil Hospital,Sivasagar,Sivasagar,Sivasagar,Assam,26.9553033,94.6105527
Maa Vindhyawasini Blood Bank,NA,NA,NA,Bihar,25.619114,85.1598789
A.N. Magadh Medical College Hospital Blood Bank,"ANMMCH GayaMagadh Medical CollegeRoad No-6, Magadh ColonyGaya",Gaya,Gaya,Bihar,24.7709945,84.9616306
Anupam Voluntary blood bank,"Opp Purani Jail Road,Nawada",Nawada,Nawada,Bihar,24.889583,85.5448789
Bharat Blood Bank,"Kadamkuan, Choori Bazar",Patna,Patna,Bihar,25.613888,85.152734
Blood bank Indian Red Cross Society,Line Bazar,Purnia,NA,Bihar,25.7842386,87.4886413
Blood Bank and Research Centre,"Ashoke Nagar, Pokharia",NA,NA,Bihar,27.1146853,84.4264574
Bose Clinic Blood Bank,"Dehral on Sone, Canal Road",Rohtas,Rohtas,Bihar,24.90813,84.177581
Sadar Hospital,Bhojpur,Bhojpur,Bhojpur,Bihar,25.5584954,84.6710981
Kurji Holy Family Hospital Blood Bank,P.O.-Sadaquat Ashram,Patna,Patna,Bihar,25.6357241,85.1120992
National blood bank and Research Centre,Kankar bagh,Patna,Patna,Bihar,25.600044,85.1540299
Nalanda Medical College and Hospital Blood Bank,NA,Patna,Patna,Bihar,25.6003076,85.1739583
Military Hospital Blood Bank,Danapur,Patna,Patna,Bihar,25.6046029,85.084542
Lions Mahavir Cancer Sansthan Blood Bank,Phulwari Sharif,Patna,Patna,Bihar,25.5768475,85.0776452
Tripolia Social Service Hospital and Blood Bank,Gulzarbarg,Patna,Patna,Bihar,25.6159554,85.1831335
Sadar Hospital Blood Bank,NA,Madhubani,Madhubani,Bihar,26.3377234,86.0721634
Sadar Hospital Blood Bank,"Sadar Hospital ,Sitamarhi",Sitamarhi,Sitamarhi,Bihar,26.5962626,85.4947498
Sadar Sub Divisional Hospital Blood Bank,NA,Kishanganj,Kishanganj,Bihar,26.1017901,87.948845
Sadar Hospital Blood Bank,NA,NA,NA,Bihar,25.2027187,85.5293999
Sadar Hospital Blood Bank,NA,NA,NA,Bihar,25.2027187,85.5293999
Sadar Hospital Blood Bank,NA,NA,NA,Bihar,25.2027187,85.5293999
Sadar Hospital Blood Bank,"Sadar Hospital, Munger",Munger,Munger,Bihar,25.3747561,86.473525
Shashi Blood Bank,Ashok Rajpath Muradpur,Patna,Patna,Bihar,25.619308,85.159459
"Rastra Kavi Dinkar Blood Bank ,Sadar Hospital","Rashrtra Kavi Dinkar Blood Bank, District Hospital",Begusarai,Begusarai,Bihar,24.0451098,84.0607594
Sri Krishna Medical College and Hospital Blood Bank,Umanagar,Umanagar,Umanagar,Bihar,26.1669211,85.3934566
"Regional blood bank,DMCH, Darbhanga","Darbhanga Medical College and Hospital ,DarbhangaSurgery Building, Ground Floor, DMCH Campus",Darbhanga,Laheriasarai,Bihar,26.1337743,85.9015883
Patliputra Blood Bank,Ashoke Rajpath,Patna,Patna,Bihar,25.619186,85.161053
"Bihar State blood bank,PMCH","Patna Medical College & Hospital (PMCH), Ashok Raj Path, Bankipur",Patna,Patna,Bihar,25.619186,85.161053
Sadar Hospital Blood Bank,Bihar Sharif,Nalanda,Nalanda,Bihar,25.2027187,85.5293999
Sadar Hospital Blood Bank,Chapra,Chapra,Chapra,Bihar,25.7817202,84.7306623
"Red Cross Blood Bank, Indian Red Cross Society","Indian Red Cross Bhawan, North Gandhi Maidan",Patna,Patna,Bihar,25.6195746,85.145199
Sadar Hospital Blood Bank,NA,NA,NA,Bihar,25.2027187,85.5293999
State of the Art Model Blood Bank,"Jay Prabha Hospital campus,Kankarbagh Colony",Patna,Patna,Bihar,25.6001218,85.152316
Palm View Hospital Blood Bank,NA,NA,NA,Bihar,25.6086704,85.0732952
Lion?s Jeevan Blood Bank,NA,NA,NA,Bihar,25.6046029,85.084542
Indira Gandhi Institute of Cardiology Blood Bank,NA,NA,NA,Bihar,25.6216053,85.1629294
Regional Blood Bank,Jawahar Lal Nehru Medical College and Hospital,Bhagalpur,Bhagalpur,Bihar,25.2570575,86.9937241
Rajendra Prasad Memorial Rotary Blood Bank,"Pokhariya, Kalisthan",Darbhanga,Darbhanga,Bihar,26.111868,85.896004
Sadar Hospital blood bank,NA,NA,NA,Bihar,25.2027187,85.5293999
Duncan Hospital,Raxaul,Raxaul,East Champaran,Bihar,26.9895674,84.8506073
Hai Medicare and Research Institute,"Rajabazar , Bailey Road",Patna,Patna,Bihar,25.6042026,85.0764825
"Indian Red Cross Blood Bank,IRCS Blood Bank, Motihari","Indian Red Cross Society Blood Bank, Red Cross SocietySadar Hospital road, Motihari, Red Cross Bhawan, Hospital Road",Motihari,East Champaran,Bihar,26.6473822,84.9102911
"IGIMS, Patna","Indira Gandhi Institute of Medical Sciences,Sheikhpur",Patna,Patna,Bihar,25.6113086,85.0892947
M.J.K. Hospital Blood Bank,Bettiah,Bettiah,NA,Bihar,26.7956792,84.4996986
Katihar Medical College Blood Bank,Katihar,Katihar,Katihar,Bihar,25.5827911,87.5498396
Life Line Blood Bank,Govind Mitra Road,Patna,Patna,Bihar,25.619114,85.1598789
Life Care Blood Bank and transfusion Services,NA,NA,NA,Bihar,22.5499483,88.3709215
Late Sajjan Kr. Agarwal Blood Bank,"Sadar Hospital Campus, Nawada",Nawada,Nawada,Bihar,24.8868483,85.5456885
Mata Gujri Memorial (M.G.M.),Medical College and Lions Seva Kendra Hospital Blood Bank,Kishanganj,Kishanganj,Bihar,26.105161,87.942059
R.B. Memorial Hospital,Benta Road,Laheriasarai,Laheriasarai,Bihar,26.1274886,85.9038728
Sadar Hospital Blood Bank,Hajipur,Vaisali,Hajipur,Bihar,25.6913915,85.2090466
Sadar Hospital Blood Bank,Red Cross Building,NA,NA,Bihar,26.5938603,85.4958367
Nazareth Hospital Blood Bank,Mokama,Patna,Patna,Bihar,25.3884972,85.9194064
Narayana Medical College and Hospital,"Jamuhar, Rohtas",Rohtas,Rohtas,Bihar,24.94295,84.102766
Mahavir Vaatsalya Blood Bank,East Sadaquat Asram,NA,NA,Bihar,25.630566,85.1176876
Sadar Hospital,Sheikhpura,Sheikhpura,Sheikhpura,Bihar,25.1331953,85.8414253
Sadar Hospital,Nawada,Nawada,Nawada,Bihar,24.8868483,85.5456885
Sadar Hospital,"Sadar Hospital, Saharsa",Saharsa,Saharsa,Bihar,25.8874694,86.5894854
"Micro Blood Bank, Raj Colony",Sasaram,Rohtas,Sasaram,Bihar,24.9548265,84.0071577
Sadar Hospital Blood Bank,Siwan,Siwan,Siwan,Bihar,26.2266874,84.3586728
Red Cross Society,"M.P. Singh Red Cross Bhawan, Samastipur",Samastipur,Samastipur,Bihar,25.8548979,85.7750383
"Indian Red Cross Blood Bank,IRCS Blood Bank, Ara","Indian Red Cross Society Blood Bank, Red Cross Society, ,South Ramna Road, Bhojpur, Ara",Ara,Bhojpur,Bihar,25.5593011,84.6620412
Sadar Hospital,"Sadar Hospital, Aurangabad, Old G.P.Road",Aurangabad,Aurangabad,Bihar,24.752353,84.3751995
Sadar Hospital,"Sadar Hospital, Second, Floor, Lakhisarai",Lakhisarai,Lakhisarai,Bihar,25.145574,86.092213
Sadar Hospital,"Sadar Hospital, Samastipur Blood Bank,SH",Samastipur,Samastipur,Bihar,25.8567704,85.7787988
Nalanda Blood Bank,"(A Unit of Janata Karah Kalyan Samaj), Quamruddinganj, Bihar Sharif",Bihar Sharif,Nalanda,Bihar,25.1982147,85.5148735
Sadar Hospital,Rohtas,Rohtas,Rohtas,Bihar,24.9513556,84.0122138
Sadar Hospital,"Sadar Hospital, Bhabua, Kachahari Road ,Kaimur",Bhabua,Kaimur,Bihar,25.0385704,83.6085558
Sadar Hospital,"Sadar Hospital, Jamui",Jamui,Jamui,Bihar,24.9243926,86.2238923
Sadar Hospital,Amar Shahid Jagdeo Prasad Sadar Hospital Jehanabad Premises,Jehanabad,Jehanabad,Bihar,25.209887,84.985363
Sadar Hospital,Medhepura,Madhepura,Madhepura,Bihar,25.9229145,86.7922148
Sadar Hospital,Supaul,Supaul,Supaul,Bihar,26.1144405,86.5965909
Hi-Tech Emergency Hospital Blood Bank,"A unit of Keshav Hospital, Danapur, Khagoul Road",Patna,Patna,Bihar,25.6210222,85.0407608
Sinha Blood Bank,"(A unit of dr. A.K. Sinha Nursing Home), Imlichatti",Muzaffarpur,Muzaffarpur,Bihar,26.1262222,85.3749537
Patna City Blood Bank,"(A Unit of Kanchan Sahay Memorial Mahila Prashikhan Kendra), Dhanki More, Agamkuan",Patna,Patna,Bihar,25.5998149,85.1925181
Bhagwan Mahabir blood bank,Pilgrim Hospital Compound,NA,NA,Bihar,25.0960742,85.3131194
Blood Bank P.N.H.,"Siwan Mahatma Budh Educational and Research Centre, situated at Popular Nursing Home, East of Gandhi Maidan",Siwan,Siwan,Bihar,26.2266874,84.3586728
Paras Hmri Hospital,"Baily Road, Raja bazaar",Patna,Patna,Bihar,25.6056461,85.082587
Ruban Memorial Hospital,"Ratan Stone Clinic, 19 Patliputra Colony",Patna,Patna,Bihar,25.6277173,85.111875
Lord Buddha Koshi Medical College and Hospital,Saharsa,Saharsa,Saharsa,Bihar,25.8939736,86.6643721
S.K.D.K.M. Hospital,"Sri Krishna Medical College Hospital, Emergency Ward, SKMCHUma nagar, Ahiapur,Road No. 2, Juran Chapra",Muzaffarpur,Muzaffarpur,Bihar,26.1669211,85.3934566
Shrishti Blood Bank,"( An unit of Sugam Jagriti), Meera Hospital, Opp - Kumbhar Park, Kankarbagh",Patna,Patna,Bihar,25.6007675,85.1845467
Jeevan Rekha Blood Bank,"( A unit of Sanjiwini Medicare Charitable Trust), Getwel Hospital, Rajabazar, Bailey Road",Patna,Patna,Bihar,25.6046029,85.084542
Lord Budhdha Koshi Medical College,NA,NA,NA,Bihar,25.8939736,86.6643721
Krishna Devi Devi Prasad Kejriwal Maternity Hospital,NA,NA,NA,Bihar,26.1295115,85.3761646
"NMCH, Patna",Nalanda Medical College and HospitalAgamkua,Patna,Patna,Bihar,25.6009156,85.1983471
"Sadar Hospital, Ara","Sadar Hospital Ara, Shivganj",Ara,Bhojpur,Bihar,25.5584954,84.6710981
"Sadar Hospital, Buxar","Old campus of Sadar Hospital, Civil line ,Central Jail, Malachakiya",Buxar,Buxar,Bihar,25.5791491,83.9804388
"Sadar Hospital, Gopalganj","Sadar Hospital, Gopalganj",Gopalganj,Gopalganj,Bihar,26.4607779,84.440996
"Sadar Hospital , Katihar",Katihar,Katihar,Katihar,Bihar,25.5397321,87.5676631
"Sadar Hospital, Khagaria","Sadar Hospital Campus, Khagaria",Khagaria,Khagaria,Bihar,25.5088611,86.4755093
"Sadar Hospital, Kishanganj","Sadar Hospital Campus, Kishangaj",Kishanganj,Kishanganj,Bihar,26.1017901,87.948845
Sadar Hospital,"Sadar Hospital, Madhepura",Madhepura,Madhepura,Bihar,25.9208647,86.790356
Sadar Hospital,"Sadar Hospital, Madhubani",Madhubani,Madhubani,Bihar,26.3377234,86.0721634
Sadar Hospital Muzaffarpur,"Near Muzaffarpur Railway Station, Hospital Road",Muzaffarpur,Muzaffarpur,Bihar,26.1221815,85.3824185
Sadar Hospital,Bihar Sharif,Bihar Sharif,Nalanda,Bihar,25.2052296,85.5145516
MJK Hospital,Betia,Betiah,West Champaran,Bihar,26.7966777,84.5009157
Sadar Hospital,"Sadar Hospital Sasaram, Rauza Road, Near Head Post office, Sasaram",Rohtas,Rohtas,Bihar,24.9513556,84.0122138
Sadar Hospital,Chapra,Chapra,Chapra,Bihar,25.7817202,84.7306623
Sadar Hospital,"Sadar Hospital, Ballu Chauk, Sheikhpura",Sheikhpura,Sheikhpura,Bihar,25.1331953,85.8414253
Sadar Hospital Hajipur,Hajipur,Hajipur,Hajipur,Bihar,25.6913915,85.2090466
"Department of Transfusion Medicine, PGIMER",NA,Chandigarh,Chandigarh,Chandigarh,30.7649646,76.7750066
Rotary & Blood Bank Society Resource Centre,"Sector-37,",Chandigarh,Chandigarh,Chandigarh,30.7422717,76.755097
"Department of Transfusion Medicine,","Government Medical College & Hospital, Sec-32, Chandigarh.",Chandigarh,Chandigarh,Chandigarh,30.708827,76.7804878
"Government Multispecialty Hospital, .","Sec-16, Chandigarh",Chandigarh,Chandigarh,Chandigarh,30.7515025,76.780409
Dhamtari Christian Hospital,"Raipur Road, Dhamtari",Dhamtari,NA,Chhattisgarh,20.718751,81.551536
B.S.R. Cancer Hospital,"Smriti Nagar, Bhilai.",Bhilai,NA,Chhattisgarh,21.2163126,81.3226217
"Thawait Blood Bank, Rajiv Gandhi Complex","Kuchery Chowk, Raipur",Raipur,Raipur,Chhattisgarh,21.2468356,81.6413976
City Blood Bank,"Ramakrishna Ashram, G.E. Road",Raipur,Raipur,Chhattisgarh,21.240906,81.620689
Holy Cross Hospital Ambikapur,Ambikapur,Ambikapur,Ambikapur,Chhattisgarh,23.1341752,83.1935353
Sai Sahara Blood Bank,"Garcha Complex, Jail Road",Raipur,Raipur,Chhattisgarh,21.2517979,81.6407957
Apollo Hospital Blood Bank,Vill. Lingiadih,Blaspur,Blaspur,Chhattisgarh,22.0837945,82.1771611
Modern Medical Institute Lalpur,Dhamtari Road,Raipur,Raipur,Chhattisgarh,21.213112,81.658116
United Blood Bank,Raja Talab,Raipur,Raipur,Chhattisgarh,21.2490434,81.6487683
SSD Blood Bank,"Katoratalab, Raipur",Raipur,Raipur,Chhattisgarh,21.2361596,81.6516328
Chandulal Chandrakar Memorial Hospital Blood Bank,"Nehru Nagar, Bhilai",Bhilai,NA,Chhattisgarh,21.2002468,81.3226646
"Chhattisgarh Blood Bank, Agrawal Hospital Parisar","Agrawal Institute of Medical Sciences Pvt Ltd., G.E.Road",Raipur,Raipur,Chhattisgarh,21.2464739,81.6053613
Bilasa Blood Bank,Bilaspur,Bilaspur,Bilaspur,Chhattisgarh,22.0867499,82.1525163
Bilasa Blood Bank,Shankar Nagar,Raipur,Raipur,Chhattisgarh,21.2542334,81.6633138
Bilasa Blood Bank,"Ghanta Ghar Chowk, Korba",Korba,Korba,Chhattisgarh,22.358714,82.7201454
Tej Blood Bank,"Main Road, Ambikapur",Ambikapur,NA,Chhattisgarh,23.117573,83.1912744
Gayatri Blood Bank,Om Parisar,Durg,Durg,Chhattisgarh,21.1994576,81.285863
Ramkrishna Ashram Blood Bank,Narayanpur,Narayanpur,Narayanpur,Chhattisgarh,19.7177777,81.229827
Chritian Hospital Blood Bank,"Mungeli, Bilaspur",Bilaspur,Bilaspur,Chhattisgarh,22.070985,81.687635
Shrishti Blood Bank,"Dhillan Complex, Jawahar Nagar",Rajpur,NA,Chhattisgarh,21.2462173,81.6308729
OPJHRC Blood Bank,OP Jindal Hospital Inn Raigarh,Raigarh,Raigarh,Chhattisgarh,21.9272784,83.3591482
Shree Narayana Hospital Blood Bank,"Health Tech Chhattisgarh (P) Ltd.,Shree Narayana Hospital, Devendra Nagar",Raipur,Raipur,Chhattisgarh,21.2634866,81.6497995
Rajdhani Blood Bank,"Main Road, Badhaipara",Raipur,Raipur,Chhattisgarh,21.244961,81.63013
Evangelical Mission Hospital Blood Bank,"Evangelical Mission Hospital Campus, At Tilda, P.O. Neora",Raipur,Raipur (C.G.),Chhattisgarh,21.553982,81.790531
Ekta Blood Bank,"Near Abhiyanta Bhawan, Magarpara",Bilaspur,Bilaspur,Chhattisgarh,22.078658,82.14507
Raipur Institute of Medical Science Blood Bank,"At Bhansoj Road, Off NH-6, Vill. Godhi",Raipur,Raipur (C.G.),Chhattisgarh,21.2420046,81.8368166
CM Medical College & Hospital Blood Bank,Vill. Kachandur,Durg,Durg (C.G.),Chhattisgarh,21.2507395,81.3372341
Sewa Blood Bank,"Sawadia Complex, Opp of Kirodimal, District Hospital",Raigarh,Raigarh (C.G.),Chhattisgarh,21.8925518,83.4015858
Ashirwad Blood Bank,"H. No.S-5, Rajiv Nagar, Shankar Nagar",Raipur,Raipur (C.G.),Chhattisgarh,21.2593803,81.6623006
NMDC Apollo Hospital Blood Bank,"Bailadila Iron Ore Mines, Bacheli, Dantewada",Dantewada,Dantewada,Chhattisgarh,18.7036935,81.2486136
Nehru Centenary Hospital Blood Bank,Korba,Korba,Korba,Chhattisgarh,22.358714,82.7201454
J.N.L. Hospital & Research Center Blood Bank,Bhilai,Bhilai,Bhilai,Chhattisgarh,21.1889844,81.3146123
NMDC Project Hospital Blood Bank,"Bailadila Iron Ore Mines, Kirandul Complex",Dantewada,Dantewada,Chhattisgarh,18.6937815,81.22159
Red Cross Blood Bank (BCSU),"Indian Red Cross Blood Bank, Raipur",Raipur,Raipur,Chhattisgarh,21.2514361,81.6388762
B.R.A. Hospital Blood Bank,Raipur,Raipur,Raipur,Chhattisgarh,21.244961,81.63013
District Hospital Blood Bank Durg (BCSU),"Civil Surgeon, District Hospital, Durg",Durg,Durg,Chhattisgarh,21.18724,81.2792892
Civil Surgeon,"District Hospital, Rajnandgaon",Rajnandgaon,Rajnandgaon,Chhattisgarh,21.100827,80.9983175
CIMS Blood Bank(BCSU),"CIMS Hospital , Bilsapur",Bilaspur,Bilsapur,Chhattisgarh,22.088264,82.1519743
Civil Surgeon,"District Hospital, Raigarh",Raigarh,Raigarh,Chhattisgarh,21.8922679,83.3958603
Civil Surgeon,"District Hospital, Ambikapur",Ambikapur,Ambikapur,Chhattisgarh,23.1116855,83.1838387
District Hospital Blood Bank,"Civil Surgeon, District Hospital, Korba",Korba,Korba,Chhattisgarh,22.3645419,82.7437438
District Hospital Blood Bank,"Civil Surgeon, District Hospital, Mahasamund",Mahasamund,Mahasamund,Chhattisgarh,21.1198894,82.0736774
District Hospital Blood Bank,"Civil Surgeon, District Hospital, Kanker",Kanker,Kanker,Chhattisgarh,20.2647234,81.4951551
Maharani Hospital (BCSU),"Maharani Hospital, Jagdalpur",Jagdalpur,Jagdalpur,Chhattisgarh,19.0848387,82.0239399
District Hospital Blood Bank,"Civil Surgeon, District Hospital , Kawardha",Kawardha,Kawardha,Chhattisgarh,22.0084057,81.2176304
District Hospital Blood Bank,"Civil Surgeon,District Hospital, Dantewada",Dantewada,Dantewada,Chhattisgarh,18.8930529,81.3505979
District Hospital Blood Bank Dhamtari,"Civil Surgeon, District Hospital, Dhamtari",Dhanbad,Dhanbad,Chhattisgarh,20.7076708,81.5394478
Civil Surgeon Dist. Hospital Blood Bank,Korea,Koria,Koria,Chhattisgarh,22.358714,82.7201454
District Hospital Blood Bank,"Civil Surgeon, District Hospital, Bilaspur",Bilaspur,Bilaspur,Chhattisgarh,22.0742265,82.158401
Model Blood Bank (BCSU),Raipur,Raipur,Raipur,Chhattisgarh,21.250283,81.640255
District Hospital Blood Bank (BCSU),Durg,Durg,Durg,Chhattisgarh,21.18724,81.2792892
District Hospital Blood Bank Rajnanadagaon,Rajnanadagaon,Rajnanadagaon,NA,Chhattisgarh,21.2786567,81.8661442
District Hospital Blood Bank,Raigarh,Raigarh,Raigarh,Chhattisgarh,21.8925518,83.4015858
District Hospital Blood Bank,Sarguja,Sarguja,Sarguja,Chhattisgarh,23.1095959,83.1947073
"Indian Red Cross Society, Red Cross House",Red Cross House,Silvassa,Silvassa,Dadra and Nagar Haveli,20.2691707,73.0036223
"Daman Raktdan Kendra, Marwad Hospital Campus","Government Hospital Marwad Campus, Nani Daman Daman",Marwad,Daman,Daman and Diu,20.433247,72.8312788
"Diu Blood Bank, Government Hospital",NA,Diu,Diu,Daman and Diu,20.7154188,70.9782376
All India Institute of Medical Sciences (AIIMS),"AIIMS, Main Blood Bank, Ansari Nagar, Ring Road",New Delhi,South Delhi,Delhi,28.567896,77.209533
Armed Forces Transfusion Centre,"Delhi Cantonment, Area Sadar Bazar, Army Public School",Delhi,South West Delhi,Delhi,28.6016883,77.12539
Dr. Ram Manohar Lohia Hospital,"Baba Kharak Singh Marg, near Gurudwara Bangla Sahib, Connaught Place",New Delhi,Central Delhi,Delhi,28.6257235,77.2027212
E.S.I. Hospital,"ESI Hospital, Basai Darapur, Ring Road",New Delhi,West Delhi,Delhi,28.6577662,77.1300657
Safdarjung Hospital,"Safdarjung Hospital, Ansari Nagar, Ring Road",New Delhi,South Delhi,Delhi,28.5671633,77.2075551
Sucheta Kriplani Hospital,"C-604, Shaheed Bhagat Singh Road, DIZ Area",New Delhi,Central Delhi,Delhi,28.6353772,77.2132875
